"","NP","date","p.uptake.ug.m2.sec.2.5%","p.uptake.ug.m2.sec.50%","p.uptake.ug.m2.sec.97.5%","p.status","binary","nutrient"
"158","8",2013-06-07,-3.738493e-01, 9.746079e-02, 6.157398e-01,"balanced", 0.1,"SRP"
"159","16",2013-06-07,-2.670445e-01, 3.033617e-01, 6.942107e-01,"balanced", 0.1,"SRP"
"160","32",2013-06-07, 2.699873e-01, 3.261765e-01, 3.896099e-01,"uptake", 1.1,"SRP"
"161","128",2013-06-07,-1.557167e-01,-1.204885e-01,-9.482697e-02,"release",-0.9,"SRP"
"162","2",2013-06-24, 1.835640e-01, 4.804124e-01, 7.035787e-01,"uptake", 1.1,"SRP"
"163","8",2013-06-24, 8.129760e-01, 1.043520e+00, 1.359079e+00,"uptake", 1.1,"SRP"
"164","16",2013-06-24,-1.225119e-01, 4.841892e-01, 9.093200e-01,"balanced", 0.1,"SRP"
"165","32",2013-06-24, 1.473937e-01, 2.114206e-01, 2.763665e-01,"uptake", 1.1,"SRP"
"166","128",2013-06-24,-1.546245e-01,-1.188574e-01,-9.346808e-02,"release",-0.9,"SRP"
"167","2",2013-07-08, 3.274427e+00, 5.202800e+00, 7.027280e+00,"uptake", 1.1,"SRP"
"168","8",2013-07-08,-7.986280e+00,-5.788803e+00,-3.836853e+00,"release",-0.9,"SRP"
"169","16",2013-07-08, 1.338625e+00, 3.083800e+00, 5.551768e+00,"uptake", 1.1,"SRP"
"170","32",2013-07-08, 5.805376e-01, 6.834906e-01, 7.913899e-01,"uptake", 1.1,"SRP"
"171","128",2013-07-08,-1.679774e-01,-1.116396e-01,-7.417822e-02,"release",-0.9,"SRP"
"172","2",2013-07-22, 5.421803e-01, 1.026882e+00, 1.445021e+00,"uptake", 1.1,"SRP"
"173","8",2013-07-22,-6.466055e+00,-4.967271e+00,-3.337965e+00,"release",-0.9,"SRP"
"174","16",2013-07-22,-3.900540e-02, 7.818061e-01, 1.400875e+00,"balanced", 0.1,"SRP"
"175","32",2013-07-22, 5.708369e-01, 6.307199e-01, 6.972421e-01,"uptake", 1.1,"SRP"
"176","128",2013-07-22,-1.302293e+00,-1.036894e+00,-8.166488e-01,"release",-0.9,"SRP"
