date,stream,SRP (µg/L),NO3-N (µg/L),NH4-N (µg/L),DIN (µg/L)
2012-05-31,WS10,4,65,43,108
2012-06-15,WS10,17,42,3,45
2012-07-01,WS10,8,64,7,71
2012-07-15,WS10,,81,0,81
2012-08-14,WS10,2,90,9,99
2012-08-27,WS10,2,62,1,63
2012-09-06,WS10,2,49,93,142
2012-09-19,WS10,5,75,4,79
2012-10-12,WS10,2,108,0,108
2012-10-22,WS10,6,58,0,58
2012-11-08,WS10,7,32,0,32
2012-11-20,WS10,6,50,5,55
2012-12-03,WS10,4,43,1,45
2012-12-19,WS10,5,76,2,78
2013-01-04,WS10,2,53,2,55
2013-01-18,WS10,2,224,35,259
2013-01-31,WS10,1,65,2,68
2013-02-11,WS10,1,28,0,28
2013-02-26,WS10,1,102,0,102
2013-03-12,WS10,2,35,5,40
2013-03-28,WS10,2,89,6,94
2013-04-10,WS10,15,88,1,90
2013-04-25,WS10,4,162,137,299
2013-05-10,WS10,0,115,0,115
2013-05-24,WS10,5,101,19,120
2013-06-07,WS10,2,32,17,49
2013-06-24,WS10,5,66,15,80
2013-07-08,WS10,6,155,8,163
2013-07-22,WS10,1,107,8,115
